"","gender","type","continent"
"370","M","Gatekeeper","North America"
"371","M","Gatekeeper","North America"
"372","M","Gatekeeper","North America"
"373","M","Gatekeeper","North America"
"374","M","Gatekeeper","North America"
"375","M","Gatekeeper","North America"
"376","M","Gatekeeper","North America"
"377","M","Gatekeeper","North America"
"378","M","Gatekeeper","North America"
"379","M","Gatekeeper","North America"
"380","M","Gatekeeper","North America"
"381","M","Gatekeeper","North America"
"382","M","Gatekeeper","North America"
"383","F","Gatekeeper","North America"
"384","M","Gatekeeper","North America"
"385","M","Gatekeeper","North America"
"386","M","Gatekeeper","North America"
"387","F","Gatekeeper","North America"
"388","M","Gatekeeper","North America"
"389","M","Gatekeeper","North America"
"390","F","Gatekeeper","North America"
"391","F","Gatekeeper","North America"
"392","F","Gatekeeper","North America"
"393","M","Gatekeeper","North America"
"394","M","Gatekeeper","North America"
"395","M","Gatekeeper","North America"
"396","M","Gatekeeper","North America"
"397","M","Gatekeeper","Europe"
"398","M","Gatekeeper","Europe"
"399","M","Gatekeeper","North America"
"400","F","Gatekeeper","North America"
"401","M","Gatekeeper","Asia"
"402","F","Gatekeeper","Europe"
"403","F","Gatekeeper","Europe"
"404","M","Gatekeeper","Europe"
"405","M","Gatekeeper","Europe"
"406","UNK","Gatekeeper","Europe"
"407","M","Gatekeeper","Europe"
"408","M","Gatekeeper","Europe"
"409","M","Gatekeeper","Europe"
"410","M","Gatekeeper","Europe"
"411","M","Gatekeeper","Asia"
"412","M","Gatekeeper","Asia"
"413","M","Gatekeeper","Asia"
"414","M","Gatekeeper","Asia"
"415","F","Gatekeeper","Europe"
"416","M","Gatekeeper","Asia"
"417","M","Gatekeeper","Europe"
"418","F","Gatekeeper","Europe"
"419","F","Gatekeeper","Europe"
"420","M","Gatekeeper","Europe"
"421","F","Gatekeeper","North America"
"422","F","Gatekeeper","Europe"
"423","M","Gatekeeper","Europe"
"424","M","Gatekeeper","Europe"
"425","F","Gatekeeper","Europe"
"426","M","Gatekeeper","Europe"
"427","M","Gatekeeper","Europe"
"428","F","Gatekeeper","Europe"
"429","F","Gatekeeper","Europe"
"430","F","Gatekeeper","Europe"
"431","M","Gatekeeper","Europe"
"432","M","Gatekeeper","North America"
"433","F","Gatekeeper","North America"
"434","M","Gatekeeper","North America"
"435","F","Gatekeeper","North America"
"436","M","Gatekeeper","North America"
"437","M","Gatekeeper","North America"
